Transaction Date,Description,Amount,Merchant,Card Number (Masked)
20240901,"POS PURCHASE - SUSHI PLACE",-105.60,SUSHI PLACE,************5678
20240902,"POS PURCHASE - GAME",-387.25,GAME,************5678
20240903,"POS PURCHASE - STARBUCKS",-58.00,STARBUCKS,************5678
20240904,"AUTOMATIC PAYMENT - GAUTRAIN",-240.00,GAUTRAIN,************5678
20240905,"POS PURCHASE - BUTCHER",-176.50,BUTCHER,************5678
20240906,"POS PURCHASE - THAI RESTAURANT",-198.75,THAI RESTAURANT,************5678
20240907,"POS PURCHASE - SUPERSPAR",-224.80,SUPERSPAR,************5678
20240908,"POS PURCHASE - CRUMB'S",-72.40,CRUMB'S,************5678
20240909,"MONTHLY SUBSCRIPTION - ADOBE",-219.00,ADOBE,************5678
20240910,"POS PURCHASE - INDIAN TAKEAWAY",-145.90,INDIAN TAKEAWAY,************5678
20240911,"POS PURCHASE - PEP STORES",-52.30,PEP STORES,************5678
20240912,"FUEL PURCHASE - ENGEN",-305.60,ENGEN,************5678
20240913,"POS PURCHASE - MEXICAN EATERY",-112.00,MEXICAN EATERY,************5678
20240914,"AUTOMATIC PAYMENT - SHOWMAX",-99.00,SHOWMAX,************5678
20240915,"POS PURCHASE - BAKERY",-45.15,BAKERY,************5678
20240916,"POS PURCHASE - ITALIAN KITCHEN",-187.25,ITALIAN KITCHEN,************5678
20240917,"POS PURCHASE - CASH & CARRY",-163.40,CASH & CARRY,************5678
20240918,"UBER TRIP",-42.30,UBER,************5678
20240919,"POS PURCHASE - CHINESE TAKEAWAY",-94.75,CHINESE TAKEAWAY,************5678
20240920,"SERVICE FEE",-5.50,FNB,************5678
20240921,"POS PURCHASE - NU METRO",-150.00,NU METRO,************5678
20240922,"POS PURCHASE - GREENGROCER",-63.20,GREENGROCER,************5678
20240923,"AUTOMATIC PAYMENT - APPLE MUSIC",-64.99,APPLE MUSIC,************5678
20240924,"POS PURCHASE - BURGER JOINT",-83.45,BURGER JOINT,************5678
20240925,"POS PURCHASE - KWIKSPAR",-78.90,KWIKSPAR,************5678
20240926,"FUEL PURCHASE - CALTEX",-318.75,CALTEX,************5678
20240927,"POS PURCHASE - GREEK CAFE",-134.50,GREEK CAFE,************5678
20240928,"POS PURCHASE - TOPS AT SPAR",-89.95,TOPS AT SPAR,************5678
20240929,"ATM CASH WITHDRAWAL FEE",-8.50,FNB,************5678
20240930,"PAYMENT - THANK YOU",1250.00,ELECTRONIC PAYMENT,************5678
